term	realization	matches	good	total	precision	kept	example_failure	example_failure_bound_words
let one go	clitic	294	7	12	0.58	no	I can't let you go in there alone.	let … you … go
trust someone across the street	clitic	286	12	12	1.00	yes		
piece of someone	filled	279	5	12	0.42	no	Come on, you piece of shit.	piece … of … shit
cross oneself	filled	256	0	12	0.00	no	A deer crossed the road.	crossed … road
handle oneself	filled	245	0	12	0.00	no	And he can handle his relationship by himself.	handle … relationship
give it to someone	filled	213	12	12	1.00	yes		
live with oneself	filled	210	1	12	0.08	no	After her mother's death, Amélie lives alone with her father.	lives … with … father
what has someone done	filled	203	12	12	1.00	yes		
work one's passage	clitic	201	0	12	0.00	no	A few minutes after he finished his work, he went to bed.	his … work
know someone from Eve	clitic	188	0	12	0.00	no	After all, you know me.	know … me
know someone from a hole in the wall	clitic	188	0	12	0.00	no	After all, you know me.	know … me
rest one's case	filled	180	0	12	0.00	no	And I love the rest of your face, too.	rest … face
what can one do	filled	173	8	12	0.67	yes	About your request, I'll see what I can do.	what … I … can … do
owe someone one	filled	159	6	12	0.50	no	And I do think you owe him an apology.	owe … him … apology
live one	filled	156	5	12	0.42	no	After living out her fair span of years, she will be yours.	living … span
of someone's life	clitic	152	12	12	1.00	yes		
collect oneself	filled	151	0	12	0.00	no	After I collected it.	collected … it
teach someone who's the boss	clitic	148	2	12	0.17	no	Anand Sir taught us to see.	taught … us
clothes on one's back	clitic	146	0	12	0.00	no	Adjust your clothes.	your … clothes
in one's life	clitic	143	8	12	0.67	yes	After fighting, everything else in your life got the volume turned down.	in … your … life
bear oneself	filled	141	0	12	0.00	no	A true king would bear the lushness of its plumage for all to see.	bear … lushness
prove oneself	filled	141	0	12	0.00	no	A comparison proves nothing.	proves … nothing
feel like oneself	filled	127	0	12	0.00	no	After running ten kilometers, my legs felt like mush.	felt … like … mush
for someone's sake	filled	123	12	12	1.00	yes		
promised one	filled	118	10	12	0.83	yes	Is there a land that promises peace to weary souls?	promises … peace
on one's own	clitic	114	11	12	0.92	yes	A stone is heavy on its own turf.	on … its … own
on one's way	clitic	113	12	12	1.00	yes		
sorry for oneself	filled	111	7	12	0.58	no	I'm sorry for the short deadline.	sorry … for … deadline
work one's passage	filled	108	0	12	0.00	no	A lot less work for you.	lot … work
suit oneself	filled	107	12	12	1.00	yes		
up to something	filled	107	8	12	0.67	yes	According to the papers, François Bayrou is going up again in the surveys.	to … papers … up
full of one's self	filled	103	12	12	1.00	yes		
full of oneself	filled	103	0	12	0.00	no	A bathtub full of hot water.	full … of … water
repeat oneself	filled	101	11	12	0.92	yes	A man over there repeated blinks at me.	repeated … blinks
bless oneself	filled	97	0	12	0.00	no	And God bless you.	bless … you
watch one's tongue	clitic	97	0	12	0.00	no	A blind woman who sensed my presence and groped at her watch.	her … watch
put oneself out	filled	92	0	12	0.00	no	All them Chinks putting Americans out of work.	putting … Americans … out
what was someone thinking	filled	92	6	12	0.50	no	And what are you thinking about now?	what … are … you … thinking
fall into oneself	filled	89	0	12	0.00	no	A fly fell into my cup of coffee.	fell … into … cup
tell us another one	filled	89	2	12	0.17	no	About Lucilla, why don't you tell us something about her?	tell … us … something
you know something	clitic	87	12	12	1.00	yes		
contain oneself	filled	85	0	12	0.00	no	A good question contains half the answer.	contains … half
express oneself	filled	85	12	12	1.00	yes		
get over oneself	filled	85	0	12	0.00	no	All right, let's get this over with.	get … this … over
out of someone's hands	filled	85	0	12	0.00	no	All this is so out of the blue Mohan.	out … of … blue
show oneself	clitic	85	0	12	0.00	no	Ah, let me show you.	show … you
wipe oneself	filled	85	6	12	0.50	no	Go there and wipe them clean.	wipe … them
use one's coconut	filled	84	0	12	0.00	no	An operation would have been no earthly use at all.	use … all
get someone there	filled	76	7	12	0.58	no	And I got a piece of the action there.	got … piece … there
know what one is doing	filled	76	3	12	0.25	no	And you know what I'm gonna do to nitpicking pricks?	know … what … I … 'm … do
let someone go	clitic	76	8	12	0.67	yes	I said, Let it go.	Let … it … go
on one's way	filled	76	12	12	1.00	yes		
sure of oneself	filled	75	0	12	0.00	no	And we'll only be sure of that when you're dead.	sure … of … that
do one's homework	clitic	74	12	12	1.00	yes		
letters after one's name	clitic	74	0	12	0.00	no	Did you acknowledge his letter?	his … letter
on one's side	filled	74	4	12	0.33	no	He is still on the right side of forty.	on … side … forty
on someone's side	filled	74	3	12	0.25	no	He is still on the right side of forty.	on … side … forty
one's turn	clitic	71	12	12	1.00	yes		
take one up	filled	70	1	12	0.08	no	A political campaign takes up a lot of time.	takes … up … lot
give someone time	filled	69	9	12	0.75	yes	Don't give me a hard time, I didn't take anyone's job away.	give … me … time
walk one's shots	filled	68	0	12	0.00	no	A mouse went for a walk on the table.	walk … table
run into one	filled	67	5	12	0.42	no	A guy nearly ran into us.	ran … into … us
hug oneself	filled	66	0	12	0.00	no	Anthony hugs Mary.	hugs … Mary
gather oneself	filled	63	0	12	0.00	no	A rolling stone gathers no moss.	gathers … moss
in someone's eyes	clitic	63	0	12	0.00	no	A blood vessel broke in my eye.	in … my … eye
pick on someone your own size	clitic	61	0	12	0.00	no	Because your mom said she'd pick you up?	pick … you
piss oneself	filled	59	1	12	0.08	no	And it's really starting to piss me off, Dave, because I can't cry for her.	piss … me
give someone a hand	filled	58	12	12	1.00	yes		
master of one's time	clitic	57	0	12	0.00	no	Another half hour, and our master will be back here.	our … master
change one's mind	clitic	56	12	12	1.00	yes		
change someone's mind	clitic	56	12	12	1.00	yes		
how dare someone	filled	55	12	12	1.00	yes		
save someone's life	clitic	54	12	12	1.00	yes		
happy to see someone	filled	53	12	12	1.00	yes		
see for oneself	filled	52	10	12	0.83	yes	And so I saw the Black Sea for the first time.	saw … for … time
in someone's time	filled	51	0	12	0.00	no	Anyone who increases his wealth in time of war is a war profiteer.	in … time … war
pain in one's ass	filled	51	7	12	0.58	no	All of a sudden, I felt a sharp pain in my stomach.	pain … in … stomach
have someone there	filled	50	6	12	0.50	no	Agnelli has coffee there every morning and he confided in him.	has … coffee … there
in one's pocket	clitic	50	12	12	1.00	yes		
in someone's pocket	clitic	50	12	12	1.00	yes		
king of all one surveys	filled	50	0	12	0.00	no	A record won't make you into the king of England.	king … of … England
wash one's hands	clitic	50	1	12	0.08	no	Before eating anything, you should wash your hands.	wash … your … hands
drink something like lemonade	clitic	47	12	12	1.00	yes		
one's hour	filled	47	0	12	0.00	no	A star shines on the hour of our meeting.	hour … meeting
drive someone crazy	filled	46	12	12	1.00	yes		
in one's opinion	clitic	46	12	12	1.00	yes		
sort oneself out	filled	46	1	12	0.08	no	But if you decide not to go, tell me and I'll sort it out.	sort … it … out
brush one's teeth	clitic	44	12	12	1.00	yes		
crack one	filled	44	1	12	0.08	no	And we haven't even cracked Appendix-D.	cracked … Appendix
on one's back	clitic	44	1	12	0.08	no	All because of the pat on my back and a kick on my butt from you sir.	on … my … back
on one's feet	clitic	44	9	12	0.75	yes	But I need it to stay on my feet.	on … my … feet
on someone's back	clitic	44	1	12	0.08	no	All because of the pat on my back and a kick on my butt from you sir.	on … my … back
trust someone to	filled	44	0	12	0.00	no	Before God, his grace is bold to trust these traitors.	to … trust … traitors
hold one's nose	filled	42	0	12	0.00	no	Dharamdas, get a hold on yourself.	hold … yourself
hold one's peace	filled	42	0	12	0.00	no	Dharamdas, get a hold on yourself.	hold … yourself
hold one's piece	filled	42	0	12	0.00	no	Dharamdas, get a hold on yourself.	hold … yourself
keep to oneself	filled	41	7	12	0.58	no	Don't try to keep her to yourself.	keep … to … yourself
make up one's mind	clitic	41	12	12	1.00	yes		
close one's eyes	clitic	40	12	12	1.00	yes		
make oneself clear	filled	40	5	12	0.42	no	But let me make one thing clear.	make … thing … clear
do what one does	filled	39	3	12	0.25	no	And if the rest of you are smart, you'll do exactly what I did!	do … what … I … did
run into one	clitic	39	0	12	0.00	no	A car coming along the street ran him down.	ran … him
know one's mind	filled	37	0	12	0.00	no	All I know for sure is that he's not a spy.	All … know
do one's best	filled	36	5	12	0.42	no	After all we've done?	all … done
do one's damnedest	filled	36	0	12	0.00	no	After all we've done?	all … done
happy to see someone	clitic	36	12	12	1.00	yes		
have one's moments	filled	36	0	12	0.00	no	A couple of Miss Strong's prize poodles have got loose.	Miss Strong … have
in one's head	clitic	35	12	12	1.00	yes		
speak for oneself	filled	35	7	12	0.58	no	But can we let him get away with speaking up for the Japanese?	speaking … for … Japanese
apply oneself	filled	34	1	12	0.08	no	A committee should apply the focus to the more concrete problem.	apply … focus
burn one down	filled	34	12	12	1.00	yes		
pleased with oneself	filled	34	0	12	0.00	no	And Mother will be pleased with your additional catch.	pleased … with … catch
see someone off	filled	34	12	12	1.00	yes		
call outta one's name	clitic	33	0	12	0.00	no	And that will count as your call.	your … call
give someone one	filled	33	1	12	0.08	no	Can you give him the new one?	give … him … one
on one's knees	clitic	32	9	12	0.75	yes	He put his hand on my knee under the table.	on … my … knee
raise one's hand	clitic	32	8	12	0.67	yes	But through all of it our protests were on, and we never raised our hands!	raised … our … hands
on someone's hands	clitic	31	1	12	0.08	no	As to your enquiry on my hand.	on … my … hand
tie someone up	filled	31	10	12	0.83	yes	She tied up the parcel with string.	tied … up … parcel
give someone a break	filled	30	12	12	1.00	yes		
look out for someone	filled	30	5	12	0.42	no	Look out for Indians!	Look … out … for … Indians
risk one's neck	filled	30	0	12	0.00	no	A government statement warned of the risk of war in the country.	risk … war
give someone a lift	filled	29	11	12	0.92	yes	Give us a lift up, pal?	Give … us … a … lift
on one's side	clitic	29	10	12	0.83	yes	I want you to get out on my side, keep your head down and keep it forward.	on … my … side
on someone's side	clitic	29	10	12	0.83	yes	I want you to get out on my side, keep your head down and keep it forward.	on … my … side
victim of one's own success	filled	29	0	12	0.00	no	But my son is also just a victim of this misfortune.	victim … of … misfortune
get oneself together	filled	28	6	12	0.50	no	But, Kabir said it's a miracle to get you two together.	get … you … together
lose one's mind	clitic	28	12	12	1.00	yes		
master of one's time	filled	28	0	12	0.00	no	A jack of all trades is master of none.	master … of … none
taste of one's own medicine	filled	28	0	12	0.00	no	All these years, we've missed the taste of that wonderful fish.	taste … of … fish
taste of one's own poison	filled	28	0	12	0.00	no	All these years, we've missed the taste of that wonderful fish.	taste … of … fish
behind someone's back	clitic	27	8	12	0.67	yes	Hands behind your back.	behind … your … back
have a word with oneself	filled	27	0	12	0.00	no	Can I have a word with John regarding this?	have … a … word … with … John
in someone's face	clitic	27	5	12	0.42	no	But some of its blood got sprayed in my face.	in … my … face
on one's mind	clitic	27	12	12	1.00	yes		
on someone's mind	clitic	27	12	12	1.00	yes		
one's last	filled	27	1	12	0.08	no	And the last of our money is missing too.	last … money
open someone's eyes	clitic	27	2	12	0.17	no	But when I open my eyes, it's still pouring.	open … my … eyes
of one's own	clitic	26	10	12	0.83	yes	But still we almost collide with one of our own.	of … our … own
on one's head	clitic	26	11	12	0.92	yes	Ukey, you stand on your head all season.	on … your … head
expose oneself	filled	25	6	12	0.50	no	And I think we should expose Vanessa.	expose … Vanessa
get on someone's nerves	clitic	25	12	12	1.00	yes		
hold someone's hand	clitic	25	7	12	0.58	no	He held out his hand to me.	held … his … hand
in someone's time	clitic	25	0	12	0.00	no	A cyborg who goes diving in her spare time.	in … her … time
take one's time	clitic	25	10	12	0.83	yes	Because I'm doing that, it's gonna take up my time.	take … my … time
for all of someone	filled	24	9	12	0.75	yes	I am responsible for all of it, and I accept that.	for … all … of … it
go fuck oneself	filled	24	12	12	1.00	yes		
in someone's way	clitic	24	8	12	0.67	yes	Do your work in your own way.	in … your … way
keep one's mouth shut	clitic	24	12	12	1.00	yes		
lay one down	filled	24	6	12	0.50	no	I would lay down my life for you.	lay … down … life
make oneself at home	filled	24	11	12	0.92	yes	At home, he makes toast but changes his mind.	At … home … makes … toast
pain in one's ass	clitic	24	0	12	0.00	no	All my pains went for nothing.	my … pains
show one's face	filled	24	0	12	0.00	no	And let us do it with no show of fear!	show … fear
weight off someone's mind	clitic	24	0	12	0.00	no	A great little fighter for her weight.	her … weight
where someone lives	filled	24	12	12	1.00	yes		
flat on one's back	clitic	23	0	12	0.00	no	Daddy was in his office, under our flat.	our … flat
hold one's breath	clitic	23	12	12	1.00	yes		
knock one out	filled	23	7	12	0.58	no	He must know you could knock his eyes out if you cared to.	knock … eyes … out
knock oneself out	filled	23	1	12	0.08	no	A couple more years, and he'll knock you out cold.	knock … you … out
give one's word	clitic	22	12	12	1.00	yes		
satisfy oneself	filled	22	1	12	0.08	no	A piece of bread was not enough to satisfy his hunger.	satisfy … hunger
think for oneself	filled	22	6	12	0.50	no	But for safety's sake, I think I'd like to go along too.	for … sake … think
on someone's account	filled	21	11	12	0.92	yes	The mobile, put it on account of some probe.	on … account … probe
pick on someone your own size	filled	21	4	12	0.33	no	A man is picking out a tune on the guitar.	picking … on … guitar
price on someone's head	clitic	21	0	12	0.00	no	Each mathematical formula in a book divides its selling price by two.	its … price
take someone's part	filled	21	0	12	0.00	no	And I took part in the revolution.	took … part … revolution
trust someone to	clitic	21	0	12	0.00	no	Boy, you have to trust me, okay?	to … trust … me
with one's own eyes	clitic	21	12	12	1.00	yes		
do one's duty	clitic	20	12	12	1.00	yes		
do somebody wrong	filled	20	1	12	0.08	no	I don't know what I did wrong with Rosa.	what … did … wrong
drive someone mad	filled	20	12	12	1.00	yes		
repeat oneself	clitic	20	12	12	1.00	yes		
shut one's mouth	clitic	20	12	12	1.00	yes		
take one's place	clitic	20	10	12	0.83	yes	Father took his place at the head of the table.	took … his … place
take someone's place	clitic	20	10	12	0.83	yes	Father took his place at the head of the table.	took … his … place
true to oneself	filled	20	5	12	0.42	no	Ham, love some good girl that'll be true to you.	true … to … you
in someone's face	filled	19	2	12	0.17	no	But it's not easy to live in the face of a deadly threat.	in … face … threat
lose one's way	clitic	19	11	12	0.92	yes	People prefer losing their ways to changing their ways.	losing … their … ways
for someone's sake	clitic	18	12	12	1.00	yes		
live one	clitic	18	9	12	0.75	yes	I lived it up for five days, and I'm ready to try it again first chance I get.	lived … it
lose one's temper	clitic	18	12	12	1.00	yes		
step on someone's toes	clitic	18	0	12	0.00	no	And stick to my steps.	my … steps
take one's place	filled	18	11	12	0.92	yes	Yes, I've taken over Emilio's place.	taken … Emilio … place
take someone's place	filled	18	9	12	0.75	yes	Father took his place at the head of the table and began to say grace.	took … place … head
watch one's tongue	filled	18	0	12	0.00	no	And set a watch on the surround.	watch … surround
worth one's salt	filled	18	0	12	0.00	no	A man's worth lies in what he is rather than what he has.	man … worth
worth one's while	filled	18	0	12	0.00	no	A man's worth lies in what he is rather than what he has.	man … worth
all over oneself	filled	17	2	12	0.17	no	All over the country.	All … over … country
be onto something	clitic	17	0	12	0.00	no	Could that have been it?	been … it
give something a try	filled	17	12	12	1.00	yes		
let one off	filled	17	3	12	0.25	no	I've come to Bom Jesus to let off ten colored rockets in Your honor.	let … off … rockets
teach someone a lesson	filled	17	12	12	1.00	yes		
wag one	filled	17	10	12	0.83	yes	This student wagged class three times in a row.	wagged … class
at one's feet	filled	16	1	12	0.08	no	Gloria was in great danger at the foot of the escalator.	at … foot … escalator
in someone's way	filled	16	6	12	0.50	no	And in a similar way to the way that ant colonies behave, it's agent-based.	in … way … way
keep someone busy	filled	16	12	12	1.00	yes		
let someone have it	filled	16	10	12	0.83	yes	I'm happy to let you have it.	let … you … have … it
of one's own	filled	16	11	12	0.92	yes	I hate the sound of my own voice.	of … own … voice
promised one	clitic	16	6	12	0.50	no	No, I promised it all.	promised … it
watch one's mouth	clitic	16	12	12	1.00	yes		
ease oneself	filled	15	0	12	0.00	no	Ease his pain.	Ease … pain
get past oneself	filled	15	11	12	0.92	yes	Never could get anything past you, can I?	get … past … you
give someone a ring	filled	15	11	12	0.92	yes	If you want to marry me you need to get on your knees and give me a ring.	give … me … a … ring
give something a shot	filled	15	10	12	0.83	yes	I can't believe I just gave myself a shot.	gave … myself … a … shot
hit one hard	filled	15	1	12	0.08	no	He wouldn't say anything no matter how hard we hit him.	hard … hit … him
none of someone's business	clitic	15	12	12	1.00	yes		
of someone's life	filled	15	5	12	0.42	no	During the bubble, people dreamed of a life of leisure.	of … life … leisure
save someone's life	filled	15	12	12	1.00	yes		
take one's seat	clitic	15	8	12	0.67	yes	Come, take my seat.	take … my … seat
to one's face	clitic	15	7	12	0.58	no	He struck a heavy blow to my face.	to … my … face
to someone's face	clitic	15	7	12	0.58	no	He struck a heavy blow to my face.	to … my … face
cross someone's mind	clitic	14	12	12	1.00	yes		
do someone like that	clitic	14	2	12	0.17	no	I didn't do you out of your job.	do … you
drive someone nuts	filled	14	12	12	1.00	yes		
keep one's word	clitic	14	12	12	1.00	yes		
of someone's dreams	clitic	14	10	12	0.83	yes	Don't you dare get in the way of my dream!	of … my … dream
set of one's jaw	filled	14	0	12	0.00	no	A TV set of this size will take little space.	set … of … size
show one's face	clitic	14	0	12	0.00	no	But I think it fits better on your show.	your … show
wet oneself	filled	14	12	12	1.00	yes		
God help someone	filled	13	9	12	0.75	yes	I am willing and ready to give up my life for him, so help me God.	help … me … God
blow one's chance	filled	13	0	12	0.00	no	A blow from a falling stone killed him.	blow … stone
blow one's lid	filled	13	0	12	0.00	no	A blow from a falling stone killed him.	blow … stone
find one's way	clitic	13	12	12	1.00	yes		
get one's	filled	13	0	12	0.00	no	All they got from Paulie was protection from other guys looking to rip them off.	All … got
get one's jollies	filled	13	0	12	0.00	no	All they got from Paulie was protection from other guys looking to rip them off.	All … got
good on someone	filled	13	1	12	0.08	no	Actually, it's quite good on toast.	good … on … toast
hand it to someone	filled	13	6	12	0.50	no	Hand it to him.	Hand … it … to … him
have one's way	filled	13	2	12	0.17	no	And I have I way.	have … I … way
hurt someone's feelings	clitic	13	12	12	1.00	yes		
in one's life	filled	13	8	12	0.67	yes	Do you believe in life after death?	in … life … death
let one off	clitic	13	7	12	0.58	no	Let off me!	Let … off … me
pack one's bags	clitic	13	12	12	1.00	yes		
pull oneself	clitic	13	11	12	0.92	yes	For God's sake, pulI yourself together.	pulI … yourself
put one's hand up	clitic	13	8	12	0.67	yes	How can I put my hands up when I'm holding on to the rope?	put … my … hands … up
put one's hands up	clitic	13	4	12	0.33	no	He put up his hand to ask a question.	put … up … his … hand
put something behind one	filled	13	5	12	0.42	no	Men, put your hands behind your back.	put … hands … behind … back
put up one's hand	clitic	13	8	12	0.67	yes	How can I put my hands up when I'm holding on to the rope?	put … my … hands … up
put up one's hands	clitic	13	3	12	0.25	no	He put up his hand to ask a question.	put … up … his … hand
run one's face	filled	13	0	12	0.00	no	He had many run-ins with cops, but always escaped.	run … cops
run one's mouth	filled	13	0	12	0.00	no	He had many run-ins with cops, but always escaped.	run … cops
somebody's in here	filled	13	12	12	1.00	yes		
take one's turn	filled	13	0	12	0.00	no	Gradisca's taking off!	Gradisca … taking
taste of one's own medicine	clitic	13	0	12	0.00	no	Each has his own taste.	his … taste
with one's eyes closed	clitic	13	3	12	0.25	no	Can you walk with your eyes closed?	with … your … eyes … closed
at one's feet	clitic	12	4	12	0.33	no	Everyone looked at my feet.	at … my … feet
beside oneself	filled	12	6	12	0.50	no	Darling, if you like the music, sit beside me and turn the pages.	beside … me
catch someone's eye	clitic	12	12	12	1.00	yes		
drive someone crazy	clitic	12	12	12	1.00	yes		
eat someone for breakfast	filled	12	1	12	0.08	no	I eat cereal for breakfast.	eat … cereal … for … breakfast
find one's way	filled	12	7	12	0.58	no	Grace, we're gonna find a way out of this, I promise.	find … way … this
fruit of one's loins	filled	12	1	12	0.08	no	And the fruit of sin that we feared.	fruit … of … sin
get someone's number	clitic	12	10	12	0.83	yes	You got their number, son.	got … their … number
give someone the creeps	filled	12	12	12	1.00	yes		
go one's way	clitic	12	7	12	0.58	no	Go away, out of my way!	Go … my … way
go one's ways	clitic	12	6	12	0.50	no	Go away, out of my way!	Go … my … way
have someone's number	filled	12	8	12	0.67	yes	I don't have the numbers of my checks.	have … numbers … checks
keep one's eyes open	clitic	12	9	12	0.75	yes	As I said, I couldn't keep my eyes open.	keep … my … eyes … open
keep one's head	clitic	12	1	12	0.08	no	From now on, keep your heads down.	keep … your … heads
kick someone's ass	clitic	12	12	12	1.00	yes		
knock one out	clitic	12	12	12	1.00	yes		
let something slip	filled	12	3	12	0.25	no	Don't let it slip by.	let … it … slip
one's self	clitic	12	3	12	0.25	no	Atreyu must face his true self.	his … self
over one's head	clitic	12	3	12	0.25	no	Hands over your head.	over … your … head
prove oneself	clitic	12	12	12	1.00	yes		
pull someone's leg	clitic	12	11	12	0.92	yes	Pulled off her leg.	Pulled … her … leg
break one's fall	filled	11	0	11	0.00	no	Do you have some kind of, what, break in the case?	break … case
do one's job	filled	11	1	11	0.09	no	He did a real snow job on my daughter.	did … job … daughter
do one's thing	filled	11	0	11	0.00	no	Anu must be so happy, we did such a good thing for them.	did … thing … them
find one's place	filled	11	3	11	0.27	no	Dad and I found a place for Hal scooping wheat.	found … place … Hal
in one's corner	filled	11	0	11	0.00	no	And today I want to fuck you in every corner of this room.	in … corner … room
in someone's corner	filled	11	0	11	0.00	no	And today I want to fuck you in every corner of this room.	in … corner … room
kiss someone's ass	clitic	11	11	11	1.00	yes		
make one's bed	clitic	11	10	11	0.91	yes	As you make your bed, so you must lie in it.	make … your … bed
make one's way	clitic	11	11	11	1.00	yes		
pull oneself together	filled	11	8	11	0.73	yes	For God's sake, pulI yourself together.	pulI … yourself … together
shift one's tides	clitic	11	0	11	0.00	no	Are you still joining us after your shift?	your … shift
slip into something more comfortable	filled	11	3	11	0.27	no	He slipped a love letter into her coat.	slipped … into … coat
take one's medicine	clitic	11	11	11	1.00	yes		
that'll teach someone	filled	11	9	11	0.82	yes	That's what my father taught me and his father taught him.	That … what … taught
thumb one's nose	clitic	11	0	11	0.00	no	I cut my thumb, but she fixed it.	my … thumb
turn one's back	clitic	11	9	11	0.82	yes	I turn my back for a second, Ham, and you sprout like a beanstalk.	turn … my … back
with all one's heart	clitic	11	11	11	1.00	yes		
believe one's eyes	clitic	10	10	10	1.00	yes		
bet one's ass	clitic	10	0	10	0.00	no	And did Gina win her bet?	her … bet
bust someone's balls	clitic	10	10	10	1.00	yes		
fool to oneself	clitic	10	10	10	1.00	yes		
give of oneself	filled	10	1	10	0.10	no	And I'll give you medicine instead of interest.	give … of … interest
give someone a hard time	filled	10	10	10	1.00	yes		
give something a try	clitic	10	10	10	1.00	yes		
in one's book	clitic	10	1	10	0.10	no	He's in my good books.	in … my … books
in someone's blood	clitic	10	4	10	0.40	no	A diabetic has too much sugar in his blood and in his urine.	in … his … blood
